directory,file_name,variable_name,variable_type,description
data,rwpfunctionality.rda,country,,Country.
data,rwpfunctionality.rda,org,,Organisational unit
data,rwpfunctionality.rda,admin1,,Administrative unit 1.
data,rwpfunctionality.rda,admin2,,Administrative unit 2.
data,rwpfunctionality.rda,admin3,,
data,rwpfunctionality.rda,instance_wp,,
data,rwpfunctionality.rda,subdate_wp,,
data,rwpfunctionality.rda,latitude_wp,,
data,rwpfunctionality.rda,longitude_wp,,
data,rwpfunctionality.rda,elevation_wp,,
data,rwpfunctionality.rda,commid_wp,,
data,rwpfunctionality.rda,dataorg_wp,,
data,rwpfunctionality.rda,timepoint_wp,,
data,rwpfunctionality.rda,cwfunded_wp,,
data,rwpfunctionality.rda,cwid,,
data,rwpfunctionality.rda,wptype,,
data,rwpfunctionality.rda,pumptype,,
data,rwpfunctionality.rda,drillmethod,,
data,rwpfunctionality.rda,piped_source,,
data,rwpfunctionality.rda,piped_pump,,
data,rwpfunctionality.rda,rehabyn,,
data,rwpfunctionality.rda,qtyhh_wp,,
data,rwpfunctionality.rda,whomanage_wp,,
data,rwpfunctionality.rda,wp_age,,
data,rwpfunctionality.rda,rehab_age,,
data,rwpfunctionality.rda,qtypeople_wp,,
data,rwpfunctionality.rda,wateravailable,,
data,rwpfunctionality.rda,functional3,,
data,rwpfunctionality.rda,whynowatertoday_wp,,
data,rwpfunctionality.rda,whynowatertoday_wp_other,,
data,rwpfunctionality.rda,minutesfill20l,,
data,rwpfunctionality.rda,brokendays_wp,,
data,rwpfunctionality.rda,qtymonthsnowater_wp,,
data,rwpfunctionality.rda,downtime2weeks,,
data,rwpfunctionality.rda,lockedfullday_wp,,
data,rwpfunctionality.rda,pumpstrokes,,
data,rwpfunctionality.rda,photo_wp,,
data,rwpfunctionality.rda,grant_number_wp,,
data,rwpfunctionality.rda,wc_present_wp,,
data,rwpfunctionality.rda,paytocollect_wp,,
data,rwpfunctionality.rda,balance_any_dollars_wp,,
data,rwpfunctionality.rda,improved_wponly_wp,,
data,rwpfunctionality.rda,qtyhh_c_wp,,
data,rwpfunctionality.rda,wc_admin_index_wp,,
data,rwpfunctionality.rda,wc_finance_index_wp,,
data,rwpfunctionality.rda,wc_mgmt_index_wp,,
data,rwpfunctionality.rda,wc_maint_index_wp,,
data,rwpfunctionality.rda,wc_savings_wp,,
data,rwpfunctionality.rda,wpqty_wp,,
data,rwpfunctionality.rda,pop_1000,,
data,rwpfunctionality.rda,annual_rain,,
data,rwpfunctionality.rda,season,,
