id,country,admin1,admin2,admin3,instance_wp,subdate_wp,latitude_wp,longitude_wp,elevation_wp,commid_wp,dataorg_wp,timepoint_wp,cwfunded_wp,cwid,wptype,pumptype,drillmethod,piped_source,piped_pump,rehabyn,qtyhh_wp,whomanage_wp,wp_age,rehab_age,qtypeople_wp,wateravailable,functional3,whynowatertoday_wp,whynowatertoday_wp_other,minutesfill20l,brokendays_wp,qtymonthsnowater_wp,downtime2weeks,lockedfullday_wp,pumpstrokes,photo_wp,grant_number_wp,wc_present_wp,paytocollect_wp,balance_any_dollars_wp,improved_wponly_wp,qtyhh_c_wp,wc_admin_index_wp,wc_finance_index_wp,wc_mgmt_index_wp,wc_maint_index_wp,wc_savings_wp,wpqty_wp,pop_1000,annual_rain,season
1,Ethiopia,Tigray,North Western,Medebay Zana,762331022,2020-01-02,14.116315,38.49383,2033.5,DRSM01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.317,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,50,Water committee,1,NA,348,Yes,Functional,NA,NA,0.816666667,NA,0,No,Yes,2,https://akvoflow-85.s3.amazonaws.com/images/6b084c59-54c8-4ded-aaeb-66148c217223.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ethiopia,Tigray,North Western,Tselemti,751461172,2019-12-21,13.58154,38.46720667,1428.1,MGME01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.244,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,50,Water committee,1,NA,265,Yes,Functional,NA,NA,1.15,NA,0,No,No,38,https://akvoflow-85.s3.amazonaws.com/images/bc38b70e-faa8-49ce-b8ca-df2aa58822fd.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ethiopia,Tigray,North Western,Medebay Zana,758401118,2019-12-29,14.09780333,38.45201333,1997.3,ADKD01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.466,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,50,Community leader,1,NA,330,Yes,Partially functional,NA,NA,1.15,NA,0,Yes,No,3,https://akvoflow-85.s3.amazonaws.com/images/2416cc61-5b59-4958-96c8-e2707b6328db.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Ethiopia,Tigray,North Western,Medebay Zana,769951024,2019-12-29,13.91249926,38.43793089,1877,ADKT01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.323,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,40,Water committee,1,NA,240,Yes,Functional,NA,NA,1.4,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/ed0d2111-fe24-4ae9-a47b-ec0b2e0e5eb3.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Ethiopia,Tigray,North Western,Tahtay Koraro,765940926,2019-12-18,14.041615,38.43749167,1966.3,ADKB01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.262,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,50,Water committee,1,NA,275,Yes,Functional,NA,NA,0.966666667,90,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/dceb6cc6-be0c-4257-80ca-e2cec99cd8fc.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Ethiopia,Tigray,North Western,Tahtay Koraro,749530930,2019-12-18,14.04812667,38.43263333,2173.1,ADBK01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.307,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,65,Water committee,0.5,NA,325,Yes,Functional,NA,NA,0.883333333,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/6be0b7fe-48c3-4b55-bc9c-54ef06ffc47e.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Ethiopia,Tigray,North Western,Medebay Zana,766111104,2019-12-29,14.19757167,38.372145,1936.8,MYBR01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.314,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,44,Water committee,1,NA,225,Yes,Functional,NA,NA,0.916666667,NA,0,No,No,3,https://akvoflow-85.s3.amazonaws.com/images/e6006310-94e5-4eb9-9f68-54502dc57060.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Ethiopia,Tigray,North Western,Medebay Zana,745720999,2020-01-01,14.27125667,38.368925,1777.3,NWEH01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.464,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,53,Water committee,1,NA,352,Yes,Functional,NA,NA,1.183333333,NA,0,No,No,1,https://akvoflow-85.s3.amazonaws.com/images/b7de2256-cb54-4965-825c-97fbe7bc9a27.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Ethiopia,Tigray,North Western,Tahtay Koraro,733750946,2019-12-19,14.07051,38.36293167,1887.9,BRMK01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.255,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,58,Water committee,1,NA,348,Yes,Functional,NA,NA,1.333333333,NA,0,No,No,4,https://akvoflow-85.s3.amazonaws.com/images/3eea89bf-6ad9-401c-85ec-b91fc5b0d1c4.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Ethiopia,Tigray,North Western,Tahtay Koraro,761891023,2019-12-18,14.02598833,38.36259167,1954.8,EDBH01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.295,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,57,Water committee,1,NA,235,Yes,Functional,NA,NA,1.183333333,NA,0,No,No,5,https://akvoflow-85.s3.amazonaws.com/images/919c96ee-befd-436a-a20e-5f2976369d04.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
